# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
uds 346 3 1 0 0.5373 0.246 0.408 0.679 0.763 0.1847 0.1465 0.038194 1344100000.0 159270000.0 1.0 0.5373 3.0 8.933 18.53 20592000.0 106180000.0 2.21 -99.0 -99.0 -99.0 -99.0 346 00000 -1.0 1.0
uds 382 3 1 0 1.6986 1.203 1.361 2.075 2.408 0.47902 -99.0 0.47902 -99.0 1997600000.0 2.0 1.699 3.0 -13.81 20.83 1786300000.0 1331700000.0 -1.47 -99.0 -99.0 -99.0 -99.0 382 00000 -1.0 2.0
uds 389 3 1 0 1.271 0.426 0.831 1.788 2.274 5.0115 4.8463 0.16522 44461000000.0 689010000.0 0.0 1.271 3.0 28.65 20.68 816770000.0 459340000.0 -1.89 -99.0 -99.0 -99.0 -99.0 389 00000 -1.0 1.0
uds 427 3 1 0 1.4408 0.828 0.968 1.777 2.206 7.2641 6.6633 0.60087 61131000000.0 2505700000.0 1.0 1.441 3.0 25.03 26.87 1851500000.0 1670500000.0 -1.01 -99.0 -99.0 -99.0 -99.0 427 00000 -1.0 1.0
uds 428 3 1 0 0.7051 0.622 0.663 0.749 0.79 1.3622 1.0619 0.30031 9742500000.0 1252300000.0 0.0 0.7051 3.0 36.38 25.4 1084700000.0 834900000.0 -1.45 -99.0 -99.0 -99.0 -99.0 428 00000 -1.0 1.0
uds 445 3 1 0 1.4609 0.587 1.172 1.823 2.773 13.179 -99.0 13.179 -99.0 54959000000.0 2.0 1.461 3.0 -0.1089 32.21 72017000000.0 36639000000.0 -2.04 -99.0 -99.0 -99.0 -99.0 445 00000 -1.0 1.0
uds 472 3 1 0 0.8514 0.575 0.735 0.974 1.1 0.79198 0.64712 0.14485 5936900000.0 604060000.0 1.0 0.8514 3.0 15.87 28.03 624240000.0 402710000.0 -1.8 -99.0 -99.0 -99.0 -99.0 472 00000 -1.0 1.0
uds 540 3 1 0 0.8991 0.807 0.849 0.948 0.99 1.4068 0.95597 0.45088 8770300000.0 1880200000.0 1.0 0.8991 3.0 21.16 29.61 2245300000.0 1253500000.0 -1.93 -99.0 -99.0 -99.0 -99.0 540 00000 -1.0 1.0
uds 575 3 1 0 0.5767 0.219 0.366 0.752 0.904 0.010776 -99.0 0.010776 -99.0 44939000.0 2.0 0.5767 3.0 -58.13 20.79 30520000.0 29959000.0 -0.72 -99.0 -99.0 -99.0 -99.0 575 00000 -1.0 3.0
uds 581 3 1 0 1.8381 1.452 1.525 2.035 2.102 3.8468 1.9144 1.9324 17563000000.0 8058500000.0 1.0 1.838 3.0 7.086 28.32 7119500000.0 5372300000.0 -1.44 -99.0 -99.0 -99.0 -99.0 581 00000 -1.0 1.0
uds 586 3 1 0 0.6241 0.459 0.539 0.708 0.762 0.045975 -99.0 0.045975 -99.0 191720000.0 2.0 0.6241 3.0 -22.89 26.59 175720000.0 127810000.0 -1.77 -99.0 -99.0 -99.0 -99.0 586 00000 -1.0 1.0
uds 593 3 1 0 1.2538 1.123 1.173 1.332 1.391 1.861 0.52127 1.3398 4782300000.0 5587000000.0 1.0 1.254 3.0 3.287 28.85 6636700000.0 3724600000.0 -1.94 -99.0 -99.0 -99.0 -99.0 593 00000 -1.0 1.0
uds 600 3 1 0 0.9664 0.849 0.9 1.042 1.116 1.0139 0.35119 0.66271 3221900000.0 2763600000.0 1.0 0.9664 3.0 6.235 29.79 3311100000.0 1842400000.0 -1.95 -99.0 -99.0 -99.0 -99.0 600 00000 -1.0 1.0
uds 708 3 1 0 2.2323 1.226 1.785 2.706 3.019 19.697 19.082 0.61553 175060000000.0 2566800000.0 0.0 2.232 3.0 40.76 26.55 1919600000.0 1711200000.0 -1.13 -99.0 -99.0 -99.0 -99.0 708 00000 -1.0 2.0
uds 724 3 1 0 1.8433 1.406 1.598 2.057 2.245 6.9872 5.6895 1.2977 52197000000.0 5411700000.0 1.0 1.843 3.0 20.99 51.11 6553500000.0 3607800000.0 -1.93 -99.0 -99.0 -99.0 -99.0 724 00000 -1.0 1.0
uds 743 3 1 0 1.8438 1.487 1.531 2.047 2.145 15.46 9.3522 6.1083 85800000000.0 25473000000.0 0.0 1.844 3.0 34.48 28.18 30079000000.0 16982000000.0 -1.9 -99.0 -99.0 -99.0 -99.0 743 00000 -1.0 1.0
uds 756 3 1 0 0.9031 0.711 0.813 1.0 1.084 1.711 1.3855 0.32544 12711000000.0 1357100000.0 0.0 0.9031 3.0 30.33 20.86 1368400000.0 904740000.0 -1.74 -99.0 -99.0 -99.0 -99.0 756 00000 -1.0 1.0
uds 798 3 1 0 1.9936 0.816 1.282 2.778 3.286 0.67997 0.62124 0.058728 5699500000.0 244900000.0 1.0 1.994 3.0 1.891 17.06 242390000.0 163270000.0 -1.77 -99.0 -99.0 -99.0 -99.0 798 00000 -1.0 3.0
uds 799 3 1 0 2.4868 1.504 2.0 2.865 3.067 30.899 28.554 2.3449 261970000000.0 9778600000.0 0.0 2.487 3.0 39.93 20.5 6602900000.0 6519100000.0 -0.9 -99.0 -99.0 -99.0 -99.0 799 00000 -1.0 1.0
