# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 6705 2 1 1 0.9223 0.9158 0.9188 0.9241 0.9266 4.6709 2.6672 2.0037 24470000000.0 8355900000.0 0.0 0.9223 2.0 55.1 24.12 799950000.0 5570600000.0 2.66 -2.16 1.63 -2.37 1.78 6705 cosmos-05-G141_06705 0.92226
cosmos 7136 2 1 1 2.1629 1.9063 1.9583 2.1583 2.1849 397.13 395.69 1.4382 3630200000000.0 5997700000.0 0.0 2.163 2.0 940.3 166.7 1062100000.0 3998400000.0 1.46 -99.0 -99.0 -99.0 -99.0 7136 cosmos-13-G141_07136 2.16293
cosmos 7216 2 1 1 1.7649 1.6817 1.6995 1.7732 1.7868 6.9197 5.2479 1.6719 48146000000.0 6971900000.0 1.0 1.765 2.0 19.75 28.25 1921800000.0 4647900000.0 0.26 -99.0 -99.0 -99.0 -99.0 7216 cosmos-22-G141_07216 1.76489
cosmos 7411 2 1 1 1.7538 1.745 1.7501 1.7707 1.7787 2.5356 -99.0 2.5356 -99.0 10574000000.0 2.0 1.754 2.0 -32.19 31.86 965240000.0 7049200000.0 2.47 -99.0 -99.0 -99.0 -99.0 7411 cosmos-22-G141_07411 1.75385
cosmos 7884 2 1 1 2.0771 2.0107 2.0468 2.0856 2.1025 18.56 11.098 7.4625 101810000000.0 31120000000.0 0.0 2.077 2.0 29.96 20.61 15211000000.0 20747000000.0 -0.4 -99.0 -99.0 -99.0 -99.0 7884 cosmos-05-G141_07884 2.07714
cosmos 7951 2 1 1 2.1065 2.0781 2.0981 2.1132 2.1215 3.0931 -99.0 3.0931 -99.0 12899000000.0 2.0 2.107 2.0 -10.88 19.87 2818000000.0 8599100000.0 1.02 -99.0 -99.0 -99.0 -99.0 7951 cosmos-05-G141_07951 2.10651
cosmos 8096 1 1 1 0.9806 -1.0 -1.0 -1.0 -1.0 29.823 26.414 3.4092 242330000000.0 14217000000.0 0.0 0.9806 1.0 445.2 26.87 3102400000.0 9478000000.0 0.89 26.36 2.2 41.49 3.53 8096 cosmos-05-G141_08096 0.9808
cosmos 9111 2 1 1 1.22 1.2134 1.2164 1.2215 1.2232 32.078 26.627 5.451 244280000000.0 22732000000.0 0.0 1.22 2.0 191.6 22.15 6633700000.0 15154000000.0 0.4 17.43 1.57 28.94 2.62 9111 cosmos-23-G141_09111 1.21998
cosmos 9667 2 1 1 1.5068 1.499 1.5038 1.5247 1.5765 22.395 18.628 3.7665 170900000000.0 15707000000.0 0.0 1.507 2.0 65.77 21.3 11957000000.0 10471000000.0 -1.32 4.46 1.82 28.14 11.65 9667 cosmos-23-G141_09667 1.50678
cosmos 9681 1 1 1 0.7511 -1.0 -1.0 -1.0 -1.0 1.1617 0.43981 0.7219 4035000000.0 3010400000.0 1.0 0.7511 1.0 13.12 19.19 339440000.0 2007000000.0 2.04 0.12 2.79 0.14 3.16 9681 cosmos-12-G141_09681 0.74368
cosmos 9871 2 1 1 1.7788 1.7084 1.7521 1.8351 1.8627 197.67 196.74 0.93127 1805000000000.0 3883500000.0 0.0 1.779 2.0 741.3 34.31 792820000.0 2589000000.0 1.18 -99.0 -99.0 -99.0 -99.0 9871 cosmos-26-G141_09871 1.77875
cosmos 10128 2 1 1 1.7538 1.7302 1.7425 1.7825 1.8253 3.0406 1.442 1.5986 13229000000.0 6666500000.0 1.0 1.754 2.0 5.397 23.09 2040500000.0 4444300000.0 0.34 -99.0 -99.0 -99.0 -99.0 10128 cosmos-12-G141_10128 1.75385
