# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 54 3 1 -1 2.5837 1.77 2.366 2.812 2.986 5.4409 3.9993 1.4417 36691000000.0 6011900000.0 1.0 2.584 3.0 4.429 11.26 4069000000.0 4007900000.0 -1.05 -99.0 -99.0 -99.0 -99.0 -99.0 54 00000 -1.0 2.0
goodss 55 3 1 -1 2.5827 2.126 2.309 2.891 3.248 7.7295 6.2393 1.4902 57241000000.0 6214500000.0 1.0 2.583 3.0 6.927 8.524 3688100000.0 4143000000.0 -0.48 -99.0 -99.0 -99.0 -99.0 -99.0 55 00000 -1.0 1.0
goodss 56 3 1 0 1.1082 1.077 1.084 1.134 1.14 17.515 13.37 4.1456 122660000000.0 17288000000.0 0.0 1.108 3.0 141.7 10.93 13009000000.0 11525000000.0 -1.19 -99.0 -99.0 -99.0 -99.0 -99.0 56 00000 -1.0 1.0
goodss 61 3 1 0 2.2853 2.222 2.235 2.332 2.414 77.906 71.488 6.4177 655850000000.0 26763000000.0 0.0 2.285 3.0 141.1 11.54 19515000000.0 17842000000.0 -1.02 -99.0 -99.0 -99.0 -99.0 -99.0 61 00000 -1.0 1.0
goodss 62 3 1 -1 2.4799 2.254 2.361 2.582 2.622 19.571 17.13 2.4409 157150000000.0 10179000000.0 0.0 2.48 3.0 24.33 16.65 12465000000.0 6785900000.0 -1.93 -99.0 -99.0 -99.0 -99.0 -99.0 62 00000 -1.0 1.0
goodss 67 3 1 0 0.6381 0.606 0.617 0.661 0.668 10.851 8.4403 2.4111 77434000000.0 10055000000.0 0.0 0.6381 3.0 351.7 11.42 2819700000.0 6703100000.0 0.44 -99.0 -99.0 -99.0 -99.0 -99.0 67 00000 -1.0 2.0
goodss 68 3 1 0 1.1091 1.079 1.085 1.134 1.14 91.765 87.506 4.2591 802810000000.0 17761000000.0 0.0 1.109 3.0 924.4 12.38 5931800000.0 11841000000.0 0.46 -99.0 -99.0 -99.0 -99.0 -99.0 68 00000 -1.0 2.0
goodss 72 3 1 -1 1.6818 1.441 1.575 1.795 2.031 9.5126 7.9092 1.6034 72562000000.0 6686400000.0 0.0 1.682 3.0 28.09 12.23 4206900000.0 4457600000.0 -0.63 -99.0 -99.0 -99.0 -99.0 -99.0 72 00000 -1.0 1.0
goodss 73 2 1 1 1.7635 1.7588 1.7611 1.7643 1.7657 6.8843 1.2193 5.6649 11186000000.0 23624000000.0 1.0 1.764 2.0 4.587 7.684 26602000000.0 15749000000.0 -1.83 -99.0 -99.0 -99.0 -99.0 -99.0 73 goodss-15-G141_00073 1.76351 1.0
goodss 76 3 1 -1 1.7278 1.552 1.621 1.828 1.897 5.9539 1.3379 4.616 12274000000.0 19250000000.0 1.0 1.728 3.0 4.928 7.82 23420000000.0 12833000000.0 -1.95 -99.0 -99.0 -99.0 -99.0 -99.0 76 goodss-15-G141_00076 1.8137 1.0
goodss 82 3 1 -1 2.5924 2.486 2.532 2.656 2.699 16.329 11.47 4.8589 105230000000.0 20262000000.0 1.0 2.592 3.0 12.45 13.95 19250000000.0 13508000000.0 -1.58 -99.0 -99.0 -99.0 -99.0 -99.0 82 00000 -1.0 1.0
