# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 463 3 1 0 0.5261 0.116 0.288 0.744 0.781 0.023936 -99.0 0.023936 -99.0 99817000.0 2.0 0.5261 3.0 -4.277 24.39 81293000.0 66545000.0 -1.0 -99.0 -99.0 -99.0 -99.0 463 00000 -1.0 1.0
cosmos 475 3 1 0 1.5982 1.445 1.502 1.74 1.792 13.698 9.6481 4.0502 88515000000.0 16890000000.0 1.0 1.598 3.0 32.66 34.08 17133000000.0 11260000000.0 -1.6 -99.0 -99.0 -99.0 -99.0 475 00000 -1.0 1.0
cosmos 492 3 1 0 1.9426 1.558 1.82 2.064 2.315 4.0031 3.3153 0.68787 30415000000.0 2868500000.0 1.0 1.943 3.0 10.87 23.5 3418800000.0 1912400000.0 -1.92 -99.0 -99.0 -99.0 -99.0 492 00000 -1.0 1.0
cosmos 514 3 1 0 1.258 0.703 1.171 1.399 1.511 6.2783 6.1001 0.17823 55964000000.0 743250000.0 0.0 1.258 3.0 37.88 30.35 785600000.0 495500000.0 -1.83 -99.0 -99.0 -99.0 -99.0 514 00000 -1.0 1.0
cosmos 536 3 1 0 1.8638 1.561 1.756 1.985 2.154 14.82 14.241 0.5787 130650000000.0 2413200000.0 0.0 1.864 3.0 51.56 33.88 2462700000.0 1608800000.0 -1.73 -99.0 -99.0 -99.0 -99.0 536 00000 -1.0 1.0
cosmos 549 3 1 0 2.1483 1.446 1.977 2.323 2.402 1.4052 -99.0 1.4052 -99.0 5859800000.0 2.0 2.148 3.0 -19.93 22.68 6951000000.0 3906500000.0 -1.91 -99.0 -99.0 -99.0 -99.0 549 00000 -1.0 1.0
cosmos 564 3 1 0 1.5215 1.399 1.429 1.64 1.687 7.3773 5.1999 2.1774 47705000000.0 9080100000.0 1.0 1.521 3.0 18.17 27.74 10152000000.0 6053400000.0 -1.81 -99.0 -99.0 -99.0 -99.0 564 00000 -1.0 1.0
cosmos 565 3 1 0 2.1385 1.8 2.029 2.259 2.333 11.15 10.002 1.1482 91763000000.0 4788300000.0 1.0 2.138 3.0 24.67 26.1 2395500000.0 3192200000.0 -0.42 -99.0 -99.0 -99.0 -99.0 565 cosmos-14-G141_00565 2.23329 1.0
cosmos 570 3 1 0 1.6149 1.319 1.468 1.74 1.823 10.005 9.2843 0.72072 85177000000.0 3005500000.0 0.0 1.615 3.0 31.51 29.06 3401900000.0 2003700000.0 -1.86 -99.0 -99.0 -99.0 -99.0 570 00000 -1.0 1.0
cosmos 598 3 1 0 2.1522 1.984 2.049 2.259 2.346 13.716 10.861 2.8557 99639000000.0 11909000000.0 0.0 2.152 3.0 26.24 22.81 11583000000.0 7939200000.0 -1.58 -99.0 -99.0 -99.0 -99.0 598 00000 -1.0 1.0
