# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 203 3 1 0 1.9903 1.576 1.734 2.284 2.592 0.74427 -99.0 0.74427 -99.0 3103700000.0 2.0 1.99 3.0 -39.99 24.91 3563100000.0 2069100000.0 -1.88 -99.0 -99.0 -99.0 -99.0 203 00000 -1.0 1.0
cosmos 207 3 1 0 0.6575 0.47 0.579 0.741 0.817 0.012331 -99.0 0.012331 -99.0 51423000.0 2.0 0.6575 3.0 -20.17 26.41 18909000.0 34282000.0 0.32 -99.0 -99.0 -99.0 -99.0 207 00000 -1.0 3.0
cosmos 214 3 1 0 0.7931 0.714 0.742 0.842 0.896 1.1602 1.0594 0.10085 9718800000.0 420580000.0 0.0 0.7931 3.0 28.38 22.38 355010000.0 280380000.0 -1.4 -99.0 -99.0 -99.0 -99.0 214 00000 -1.0 1.0
cosmos 215 3 1 0 0.7546 0.702 0.722 0.78 0.891 0.12748 -99.0 0.12748 -99.0 531610000.0 2.0 0.7546 3.0 -2.662 23.05 591360000.0 354410000.0 -1.87 -99.0 -99.0 -99.0 -99.0 215 00000 -1.0 1.0
cosmos 217 3 1 0 1.4397 0.978 1.08 1.739 1.916 0.091653 -99.0 0.091653 -99.0 382210000.0 2.0 1.44 3.0 -1.107 19.42 177450000.0 254800000.0 -0.31 -99.0 -99.0 -99.0 -99.0 217 00000 -1.0 3.0
cosmos 328 3 1 0 1.4398 1.107 1.217 1.663 2.011 5.2821 4.8182 0.46394 44204000000.0 1934700000.0 1.0 1.44 3.0 18.12 22.46 1957300000.0 1289800000.0 -1.69 -99.0 -99.0 -99.0 -99.0 328 00000 -1.0 1.0
cosmos 332 3 1 0 1.4313 1.225 1.304 1.553 1.687 7.3471 7.137 0.21005 65477000000.0 875940000.0 0.0 1.431 3.0 27.12 19.78 1031600000.0 583960000.0 -1.93 -99.0 -99.0 -99.0 -99.0 332 00000 -1.0 1.0
cosmos 364 3 1 0 0.938 0.517 0.659 0.995 1.074 1.3179 1.3126 0.0053788 12042000000.0 22430000.0 0.0 0.938 3.0 25.76 20.23 30115000.0 14954000.0 -2.13 -99.0 -99.0 -99.0 -99.0 364 00000 -1.0 3.0
cosmos 397 3 1 0 0.858 0.735 0.787 0.93 0.984 0.30139 -99.0 0.30139 -99.0 1256800000.0 2.0 0.858 3.0 -23.88 28.6 1490700000.0 837900000.0 -1.93 -99.0 -99.0 -99.0 -99.0 397 00000 -1.0 1.0
cosmos 424 3 1 0 0.7582 0.694 0.715 0.799 0.822 0.36075 -99.0 0.36075 -99.0 1504400000.0 2.0 0.7582 3.0 -39.93 28.36 1768000000.0 1002900000.0 -1.92 -99.0 -99.0 -99.0 -99.0 424 00000 -1.0 1.0
cosmos 436 3 1 0 1.7518 1.634 1.705 1.8 1.844 13.584 10.864 2.7195 99672000000.0 11341000000.0 0.0 1.752 3.0 40.62 27.88 9924800000.0 7560500000.0 -1.44 -99.0 -99.0 -99.0 -99.0 436 00000 -1.0 1.0
cosmos 461 3 1 0 0.9107 0.831 0.869 0.954 0.988 0.1758 -99.0 0.1758 -99.0 733110000.0 2.0 0.9107 3.0 -19.54 28.04 825730000.0 488740000.0 -1.9 -99.0 -99.0 -99.0 -99.0 461 00000 -1.0 1.0
cosmos 486 3 1 0 0.5982 0.517 0.574 1.075 1.146 0.92761 0.85912 0.068494 7881800000.0 285630000.0 0.0 0.5982 3.0 40.39 25.48 338440000.0 190420000.0 -1.88 -99.0 -99.0 -99.0 -99.0 486 cosmos-14-G141_00486 1.12761 1.0
cosmos 523 3 1 0 0.9726 0.869 0.934 1.022 1.724 1.9572 1.8047 0.15249 16557000000.0 635920000.0 0.0 0.9726 3.0 31.33 23.17 698670000.0 423940000.0 -1.86 1.67 2.29 191.6 282.34 523 cosmos-14-G141_00523 1.00672 1.0
cosmos 569 3 1 0 0.8176 0.632 0.694 0.927 0.993 0.56726 0.46271 0.10455 4245000000.0 435980000.0 1.0 0.8176 3.0 11.86 22.74 495610000.0 290650000.0 -1.87 -99.0 -99.0 -99.0 -99.0 569 00000 -1.0 1.0
cosmos 583 3 1 0 0.9039 0.846 0.871 0.935 0.975 0.85073 0.54116 0.30957 4964800000.0 1291000000.0 1.0 0.9039 3.0 11.82 26.97 1395800000.0 860650000.0 -1.84 6.63 1.28 52368.43 1.997551188496627e+142 583 cosmos-14-G141_00583 0.88043 1.0
cosmos 589 3 1 0 0.9306 0.781 0.86 0.992 1.027 0.19553 -99.0 0.19553 -99.0 815380000.0 2.0 0.9306 3.0 -7.691 31.01 933080000.0 543590000.0 -1.91 -99.0 -99.0 -99.0 -99.0 589 00000 -1.0 1.0
cosmos 640 3 1 0 1.257 0.669 0.859 1.648 1.98 4.5674 4.5126 0.054793 41400000000.0 228500000.0 0.0 1.257 3.0 28.13 25.75 165480000.0 152330000.0 -1.31 -99.0 -99.0 -99.0 -99.0 640 00000 -1.0 3.0
cosmos 649 3 1 0 1.8616 1.467 1.763 1.981 2.046 0.92677 -99.0 0.92677 -99.0 3864700000.0 2.0 1.862 3.0 -6.266 24.07 3576900000.0 2576500000.0 -1.6 -99.0 -99.0 -99.0 -99.0 649 00000 -1.0 1.0
