# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 47 3 1 0 0.8109 0.776 0.792 0.837 0.843 0.32098 -99.0 0.32098 -99.0 1338500000.0 2.0 0.8109 3.0 -4.059 23.86 123260000.0 892340000.0 2.63 -99.0 -99.0 -99.0 -99.0 -99.0 47 00000 -1.0 3.0
cosmos 55 3 1 -1 1.4383 1.269 1.353 1.544 2.248 0.75905 0.1024 0.65665 939480000.0 2738300000.0 1.0 1.438 3.0 0.386 24.67 3276000000.0 1825600000.0 -1.93 -99.0 -99.0 -99.0 -99.0 -99.0 55 00000 -1.0 1.0
cosmos 57 3 1 -1 0.7919 0.741 0.761 0.826 0.859 0.55588 -99.0 0.55588 -99.0 2318100000.0 2.0 0.7919 3.0 -4.802 26.83 2605800000.0 1545400000.0 -1.89 -99.0 -99.0 -99.0 -99.0 -99.0 57 00000 -1.0 1.0
cosmos 58 3 1 -1 1.1827 1.103 1.13 1.242 1.273 0.50741 -99.0 0.50741 -99.0 2116000000.0 2.0 1.183 3.0 -30.92 29.98 1797600000.0 1410700000.0 -1.38 -99.0 -99.0 -99.0 -99.0 -99.0 58 00000 -1.0 1.0
cosmos 61 3 1 -1 1.1715 1.123 1.142 1.202 1.225 0.93257 -99.0 0.93257 -99.0 3888900000.0 2.0 1.172 3.0 -32.65 26.77 4404800000.0 2592600000.0 -1.88 -99.0 -99.0 -99.0 -99.0 -99.0 61 00000 -1.0 1.0
cosmos 66 3 1 -1 1.3282 1.223 1.258 1.403 1.51 0.8154 -99.0 0.8154 -99.0 3400300000.0 2.0 1.328 3.0 -11.0 28.18 2652000000.0 2266900000.0 -1.16 -99.0 -99.0 -99.0 -99.0 -99.0 66 00000 -1.0 1.0
cosmos 67 3 1 -1 0.5391 0.408 0.462 0.61 0.736 0.0014521 -99.0 0.0014521 -99.0 6055600.0 2.0 0.5391 3.0 -6.22 28.1 818160.0 4037100.0 1.22 -99.0 -99.0 -99.0 -99.0 -99.0 67 00000 -1.0 3.0
cosmos 68 3 1 0 0.9478 0.92 0.925 0.971 0.977 2.5082 -99.0 2.5082 -99.0 10460000000.0 2.0 0.9478 3.0 -2.591 34.87 7607900000.0 6973100000.0 -1.12 -99.0 -99.0 -99.0 -99.0 -99.0 68 00000 -1.0 1.0
cosmos 70 3 1 -1 0.7508 0.469 0.613 0.888 1.019 0.065049 -99.0 0.065049 -99.0 271260000.0 2.0 0.7508 3.0 -37.02 33.05 321500000.0 180840000.0 -1.88 -99.0 -99.0 -99.0 -99.0 -99.0 70 00000 -1.0 1.0
cosmos 73 3 1 0 0.7295 0.693 0.707 0.752 0.768 0.54915 -99.0 0.54915 -99.0 2290000000.0 2.0 0.7295 3.0 -10.19 37.28 1944500000.0 1526700000.0 -1.52 -99.0 -99.0 -99.0 -99.0 -99.0 73 00000 -1.0 1.0
