# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodsn 5677 2 1 1 1.6805 1.6162 1.6568 1.6871 1.7575 86.866 86.101 0.76501 789920000000.0 3190200000.0 0.0 1.68 2.0 305.3 33.78 997770000.0 2126800000.0 0.33 -99.0 -99.0 -99.0 -99.0 5677 goodsn-21-G141_05677 1.68049
goodsn 5679 1 1 1 2.21 -1.0 -1.0 -1.0 -1.0 209.68 208.29 1.3919 1910900000000.0 5804400000.0 0.0 2.21 1.0 460.4 10.34 2614800000.0 3869600000.0 -0.37 -99.0 -99.0 -99.0 -99.0 5679 goodsn-21-G141_05679 2.11273
goodsn 5932 2 1 1 1.6445 1.4342 1.6015 1.6795 1.8444 116.99 115.41 1.5777 1058800000000.0 6579200000.0 0.0 1.645 2.0 398.3 11.11 3716000000.0 4386100000.0 -0.62 -99.0 -99.0 -99.0 -99.0 5932 goodsn-21-G141_05932 1.64455
goodsn 6215 1 1 1 2.5054 -1.0 -1.0 -1.0 -1.0 156.35 139.78 16.565 1282400000000.0 69080000000.0 0.0 2.505 1.0 187.8 12.04 15782000000.0 46053000000.0 1.0 -99.0 -99.0 -99.0 -99.0 6215 goodsn-21-G141_06215 2.20592
goodsn 6789 1 1 1 2.2461 -1.0 -1.0 -1.0 -1.0 348.69 344.31 4.3796 3158800000000.0 18263000000.0 0.0 2.246 1.0 719.8 12.2 8165500000.0 12176000000.0 -0.34 -99.0 -99.0 -99.0 -99.0 6789 goodsn-21-G141_06789 2.35181
goodsn 6877 1 1 1 2.0808 -1.0 -1.0 -1.0 -1.0 101.05 92.658 8.3901 850070000000.0 34988000000.0 0.0 2.081 1.0 248.7 10.23 15101000000.0 23325000000.0 -0.19 -99.0 -99.0 -99.0 -99.0 6877 goodsn-22-G141_06877 2.03739
goodsn 7276 2 1 1 2.4869 2.3588 2.3705 2.4888 2.4943 58.491 46.468 12.023 426310000000.0 50138000000.0 0.0 2.487 2.0 64.98 9.601 20475000000.0 33426000000.0 -0.13 -99.0 -99.0 -99.0 -99.0 7276 goodsn-44-G141_07276 2.48685
goodsn 9056 1 1 1 1.1402 -1.0 -1.0 -1.0 -1.0 5.7538 2.2377 3.5161 20529000000.0 14663000000.0 0.0 1.14 1.0 21.41 10.98 1908400000.0 9775100000.0 1.95 -1.86 0.94 -3.93 1.99 9056 goodsn-22-G141_09056 1.13614
goodsn 9122 2 1 1 2.0895 2.0798 2.0849 2.0926 2.1136 12.496 11.028 1.4675 101180000000.0 6119900000.0 0.0 2.089 2.0 29.26 11.03 891750000.0 4079900000.0 1.82 -99.0 -99.0 -99.0 -99.0 9122 goodsn-44-G141_09122 2.08947
goodsn 9623 1 1 1 1.0128 -1.0 -1.0 -1.0 -1.0 4.4396 1.8854 2.5542 17297000000.0 10651000000.0 0.0 1.013 1.0 28.13 9.396 855020000.0 7100800000.0 2.91 11.94 1.74 13.55 1.98 9623 goodsn-33-G141_09623 1.00872
goodsn 9692 2 1 1 1.6143 1.6037 1.6085 1.6186 1.6239 17.051 11.614 5.4366 106550000000.0 22671000000.0 0.0 1.614 2.0 39.4 8.838 1760300000.0 15114000000.0 2.6 -99.0 -99.0 -99.0 -99.0 9692 goodsn-45-G141_09692 1.61431
goodsn 10125 2 1 1 1.6512 1.5941 1.623 1.7039 1.7667 78.699 78.53 0.16922 720460000000.0 705680000.0 0.0 1.651 2.0 272.2 9.403 358370000.0 470450000.0 -0.5 -99.0 -99.0 -99.0 -99.0 10125 goodsn-45-G141_10125 1.65117
goodsn 10280 1 1 1 1.016 -1.0 -1.0 -1.0 -1.0 55.769 48.51 7.2593 445050000000.0 30272000000.0 0.0 1.016 1.0 715.5 9.611 19895000000.0 20181000000.0 -0.88 41.5 3.31 79.46 6.41 10280 goodsn-33-G141_10280 1.01275
goodsn 10311 1 1 1 1.5253 -1.0 -1.0 -1.0 -1.0 150.49 142.28 8.212 1305300000000.0 34245000000.0 0.0 1.525 1.0 495.8 10.78 16671000000.0 22830000000.0 -0.37 30.24 1.95 205.87 15.41 10311 goodsn-33-G141_10311 1.53071
goodsn 10657 1 1 1 1.76 -1.0 -1.0 -1.0 -1.0 489.06 486.91 2.1462 4467100000000.0 8949900000.0 0.0 1.76 1.0 1828.0 15.63 3973500000.0 5966600000.0 -0.33 -1.49 1.66 -14.92 16.68 10657 goodsn-34-G141_10657 1.52313
goodsn 11064 2 1 1 2.0359 1.893 1.9595 2.0488 2.0991 176.27 172.05 4.2113 1578500000000.0 17562000000.0 0.0 2.036 2.0 493.1 14.27 10678000000.0 11708000000.0 -0.6 -99.0 -99.0 -99.0 -99.0 11064 goodsn-12-G141_11064 2.03588
goodsn 11691 2 1 1 0.677 0.6623 0.669 0.6819 0.6882 3.945 3.228 0.71697 29615000000.0 2989900000.0 0.0 0.677 2.0 120.5 16.07 783610000.0 1993200000.0 0.19 17.44 5.15 16.06 4.85 11691 goodsn-11-G141_11691 0.67699
goodsn 11826 1 1 1 0.846 -1.0 -1.0 -1.0 -1.0 12.634 12.228 0.40659 112180000000.0 1695500000.0 0.0 0.846 1.0 301.9 9.347 1352700000.0 1130300000.0 -1.36 9.78 2.02 52.35 10.94 11826 goodsn-12-G141_11826 0.83951
goodsn 11932 1 1 1 0.848 -1.0 -1.0 -1.0 -1.0 45.129 40.847 4.2814 374750000000.0 17854000000.0 0.0 0.848 1.0 1006.0 5.81 7075600000.0 11903000000.0 -0.06 13.3 5.47 13.98 5.77 11932 goodsn-23-G141_11932 0.81939
goodsn 12302 1 1 1 3.1569 -1.0 -1.0 -1.0 -1.0 1517.3 1466.7 50.608 13456000000000.0 211040000000.0 0.0 3.157 1.0 462.0 33.25 105860000000.0 140690000000.0 -0.43 -99.0 -99.0 -99.0 -99.0 12302 goodsn-45-G141_12302 2.26252
goodsn 12342 1 1 1 1.015 -1.0 -1.0 -1.0 -1.0 20.915 19.662 1.2526 180390000000.0 5223400000.0 0.0 1.015 1.0 291.1 10.27 2825700000.0 3482300000.0 -0.49 7.8 1.17 26.36 3.99 12342 goodsn-22-G141_12342 1.01174
goodsn 12343 1 1 1 0.562 -1.0 -1.0 -1.0 -1.0 18.923 16.799 2.1241 154120000000.0 8857700000.0 0.0 0.562 1.0 914.8 18.78 7904000000.0 5905200000.0 -1.7 35.4 4.38 13.91 1.72 12343 goodsn-123-G141_12343 0.68877
goodsn 12379 1 1 1 2.914 -1.0 -1.0 -1.0 -1.0 263.33 257.35 5.9829 2361000000000.0 24949000000.0 0.0 2.914 1.0 139.6 10.87 7351200000.0 16633000000.0 0.54 -99.0 -99.0 -99.0 -99.0 12379 goodsn-45-G141_12379 2.91377
goodsn 12945 2 1 1 2.8286 2.7065 2.7491 2.9468 2.978 265.51 259.63 5.8836 2381900000000.0 24535000000.0 0.0 2.829 2.0 164.3 9.178 6057200000.0 16357000000.0 0.72 -99.0 -99.0 -99.0 -99.0 12945 goodsn-45-G141_12945 2.8286
