# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
uds 339 3 1 0 1.5783 1.391 1.457 1.725 1.828 8.8063 6.8135 1.9928 62509000000.0 8310200000.0 0.0 1.578 3.0 23.11 21.75 8205800000.0 5540100000.0 -1.68 -99.0 -99.0 -99.0 -99.0 339 00000 -1.0 1.0
uds 341 3 1 0 1.2211 1.017 1.12 1.342 1.502 5.5755 3.6886 1.8869 33840000000.0 7868700000.0 0.0 1.221 3.0 26.44 19.63 9304900000.0 5245800000.0 -1.95 -99.0 -99.0 -99.0 -99.0 341 00000 -1.0 1.0
uds 352 3 1 0 1.9468 1.517 1.763 2.123 2.241 5.9969 3.3796 2.6173 31006000000.0 10914000000.0 1.0 1.947 3.0 11.02 19.51 12757000000.0 7276300000.0 -1.89 -99.0 -99.0 -99.0 -99.0 352 00000 -1.0 1.0
uds 362 3 1 0 0.6007 0.094 0.447 0.756 0.806 1.6598 1.6324 0.02743 14976000000.0 114390000.0 0.0 0.6007 3.0 76.11 19.54 76793000.0 76259000.0 -1.17 -99.0 -99.0 -99.0 -99.0 362 00000 -1.0 3.0
uds 372 3 1 0 1.601 0.944 1.423 1.811 1.933 6.3958 5.0456 1.3502 46290000000.0 5630500000.0 1.0 1.601 3.0 17.08 19.49 2880500000.0 3753600000.0 -0.43 -99.0 -99.0 -99.0 -99.0 372 00000 -1.0 1.0
uds 411 3 1 0 1.5739 1.249 1.393 1.822 1.959 6.398 4.6824 1.7156 42958000000.0 7154300000.0 1.0 1.574 3.0 15.9 19.91 8744600000.0 4769500000.0 -1.95 -99.0 -99.0 -99.0 -99.0 411 00000 -1.0 1.0
uds 414 3 1 0 2.1475 1.673 1.932 2.377 2.61 17.948 16.167 1.7811 148320000000.0 7427400000.0 0.0 2.147 3.0 39.35 19.95 5035700000.0 4951600000.0 -0.99 -99.0 -99.0 -99.0 -99.0 414 00000 -1.0 1.0
uds 415 3 1 0 2.0412 1.712 1.892 2.194 2.295 15.034 12.833 2.2014 117730000000.0 9180300000.0 0.0 2.041 3.0 36.51 27.24 10132000000.0 6120200000.0 -1.78 -99.0 -99.0 -99.0 -99.0 415 00000 -1.0 1.0
uds 461 3 1 0 2.4333 2.221 2.303 2.514 2.986 170.93 165.91 5.011 1522100000000.0 20897000000.0 0.0 2.433 3.0 259.3 22.57 9516300000.0 13931000000.0 -0.25 -99.0 -99.0 -99.0 -99.0 461 00000 -1.0 2.0
uds 465 3 1 0 1.5971 1.375 1.461 1.721 1.836 12.798 10.596 2.2014 97214000000.0 9180000000.0 0.0 1.597 3.0 35.87 26.53 10618000000.0 6120000000.0 -1.89 -99.0 -99.0 -99.0 -99.0 465 00000 -1.0 1.0
uds 486 3 1 0 2.3588 2.156 2.256 2.464 2.561 4.2057 0.64323 3.5624 5901200000.0 14856000000.0 1.0 2.359 3.0 1.143 23.69 9912800000.0 9903900000.0 -0.78 -99.0 -99.0 -99.0 -99.0 486 00000 -1.0 1.0
uds 503 3 1 0 0.9 0.653 0.779 1.026 1.098 0.18036 0.036735 0.14363 337020000.0 598940000.0 1.0 0.9 3.0 0.8111 28.25 616850000.0 399290000.0 -1.73 -99.0 -99.0 -99.0 -99.0 503 00000 -1.0 1.0
uds 508 3 1 0 1.7416 1.553 1.631 1.846 1.97 14.811 13.463 1.3481 123520000000.0 5621700000.0 0.0 1.742 3.0 50.08 27.55 5117700000.0 3747800000.0 -1.47 -99.0 -99.0 -99.0 -99.0 508 00000 -1.0 1.0
uds 513 3 1 0 1.6845 1.342 1.493 1.887 2.109 0.89769 0.022683 0.87501 208100000.0 3648900000.0 1.0 1.684 3.0 0.08069 29.1 4239000000.0 2432600000.0 -1.89 -99.0 -99.0 -99.0 -99.0 513 00000 -1.0 1.0
uds 523 3 1 0 1.5408 1.25 1.376 1.74 1.98 8.3293 7.1231 1.2063 65349000000.0 5030300000.0 0.0 1.541 3.0 24.56 17.85 5946100000.0 3353600000.0 -1.92 -99.0 -99.0 -99.0 -99.0 523 00000 -1.0 1.0
uds 530 3 1 0 1.3744 1.136 1.201 1.522 1.787 0.49556 -99.0 0.49556 -99.0 2066600000.0 2.0 1.374 3.0 -80.75 30.31 2444300000.0 1377700000.0 -1.91 -99.0 -99.0 -99.0 -99.0 530 00000 -1.0 1.0
uds 545 3 1 0 1.6212 1.18 1.392 1.888 2.17 0.74862 -99.0 0.74862 -99.0 3121900000.0 2.0 1.621 3.0 -42.02 24.45 3569200000.0 2081200000.0 -1.87 -99.0 -99.0 -99.0 -99.0 545 00000 -1.0 1.0
