# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodsn 11526 2 1 1 1.0188 1.0155 1.0169 1.0194 1.0206 5.1043 1.1896 3.9147 10913000000.0 16325000000.0 0.0 0.9933 2.0 19.13 16.98 18767000000.0 10883000000.0 -1.9 17.87 0.95 821.4 58.78 11526 goodsn-34-G141_11526 1.01879
goodsn 14098 1 1 1 1.016 -1.0 -1.0 -1.0 -1.0 18.611 16.902 1.7087 155070000000.0 7125400000.0 0.0 1.016 1.0 249.3 10.75 3931600000.0 4750300000.0 -0.48 17.9 1.66 231.36 23.12 14098 goodsn-23-G141_14098 1.00571
goodsn 7561 1 1 1 1.011 -1.0 -1.0 -1.0 -1.0 9.2519 7.01 2.2419 64312000000.0 9349100000.0 0.0 1.011 1.0 105.4 12.76 7258100000.0 6232700000.0 -1.29 11.99 0.85 242.93 18.73 7561 goodsn-32-G141_07561 1.00973
goodsn 18574 1 1 1 1.248 -1.0 -1.0 -1.0 -1.0 121.87 116.99 4.8786 1073300000000.0 20344000000.0 0.0 1.248 1.0 754.9 15.78 7360800000.0 13563000000.0 0.15 66.75 1.58 335.05 9.0 18574 goodsn-35-G141_18574 1.24117
goodsn 36613 1 1 1 1.0198 -1.0 -1.0 -1.0 -1.0 15.143 8.4838 6.6588 77833000000.0 27768000000.0 0.0 1.0198 1.0 123.4 10.45 26879000000.0 18512000000.0 -1.65 29.72 1.4 232.73 11.8 36613 goodsn-18-G141_36613 1.02385
goodsn 28379 1 1 1 1.142 -1.0 -1.0 -1.0 -1.0 30.42 25.19 5.2298 231100000000.0 21809000000.0 0.0 1.142 1.0 239.5 9.37 13792000000.0 14539000000.0 -0.73 31.6 0.83 297.08 8.66 28379 goodsn-26-G141_28379 1.14363
goodsn 4381 1 1 1 0.8421 -1.0 -1.0 -1.0 -1.0 8.4864 5.8282 2.6582 53470000000.0 11085000000.0 0.0 0.8421 1.0 144.6 9.905 10994000000.0 7390000000.0 -1.63 18.47 1.83 144.05 15.32 4381 goodsn-31-G141_04381 0.84781
goodsn 27660 1 1 1 0.6041 -1.0 -1.0 -1.0 -1.0 3.8593 3.7679 0.091435 34568000000.0 381300000.0 0.0 0.6041 1.0 173.7 10.96 331600000.0 254200000.0 -1.45 7.77 0.68 215.25 20.23 27660 goodsn-26-G141_27660 1.00271
goodsn 2572 1 1 1 1.263 -1.0 -1.0 -1.0 -1.0 5.7697 2.529 3.2407 23202000000.0 13514000000.0 0.0 1.263 1.0 15.41 12.63 13156000000.0 9009300000.0 -1.63 4.87 0.45 218.88 22.39 2572 goodsn-31-G141_02572 1.26144
goodsn 2359 1 1 1 1.4653 -1.0 -1.0 -1.0 -1.0 92.267 89.895 2.3718 824720000000.0 9890700000.0 0.0 1.4653 1.0 328.5 11.44 3402400000.0 6593800000.0 0.2 13.2 0.95 176.06 14.21 2359 goodsn-31-G141_02359 1.4596
goodsn 4759 1 1 1 0.943 -1.0 -1.0 -1.0 -1.0 7.3595 6.3483 1.0112 58241000000.0 4217000000.0 0.0 0.943 1.0 122.5 21.19 2462700000.0 2811300000.0 -0.64 13.4 0.74 132.06 7.6 4759 goodsn-32-G141_04759 1.21555
goodsn 32418 1 1 1 0.9418 -1.0 -1.0 -1.0 -1.0 8.5735 4.3645 4.2091 40041000000.0 17552000000.0 0.0 0.9418 1.0 84.58 9.251 16041000000.0 11702000000.0 -1.57 25.76 1.92 297.33 24.89 32418 goodsn-16-G141_32418 0.94644
goodsn 18224 1 1 1 0.961 -1.0 -1.0 -1.0 -1.0 37.246 30.698 6.5478 281640000000.0 27305000000.0 0.0 0.961 1.0 555.6 7.522 9713900000.0 18203000000.0 0.4 91.25 1.26 197.02 2.87 18224 goodsn-24-G141_18224 0.96403
goodsn 23662 2 1 1 1.3537 1.3497 1.3518 1.3581 1.3606 -99.0 -99.0 2.0347 -99.0 8484900000.0 2.0 1.2476 2.0 -9.221 14.55 8060300000.0 5656600000.0 -1.58 11.62 1.12 527.03 72.77 23662 goodsn-14-G141_23662 1.35373
goodsn 23756 1 1 1 0.8419 -1.0 -1.0 -1.0 -1.0 3.5428 1.2959 2.2469 11889000000.0 9369900000.0 0.0 0.8419 1.0 32.16 6.924 10381000000.0 6246600000.0 -1.85 18.41 1.34 350.3 31.76 23756 goodsn-36-G141_23756 0.84043
goodsn 6563 2 1 1 0.8599 0.857 0.858 0.8607 0.8617 18.095 16.635 1.4607 152610000000.0 6091500000.0 0.0 0.7779 2.0 461.4 10.27 3564200000.0 4061000000.0 -0.56 29.19 1.16 275.05 12.63 6563 goodsn-44-G141_06563 0.85986
goodsn 14184 1 1 1 0.846 -1.0 -1.0 -1.0 -1.0 54.271 50.385 3.8865 462250000000.0 16207000000.0 0.0 0.846 1.0 1244.0 13.35 5719100000.0 10805000000.0 0.32 97.63 2.45 249.51 6.71 14184 goodsn-23-G141_14184 0.84596
goodsn 21593 1 1 1 0.849 -1.0 -1.0 -1.0 -1.0 36.743 35.325 1.4184 324080000000.0 5915000000.0 0.0 0.849 1.0 868.9 10.26 1705800000.0 3943300000.0 0.63 37.66 2.0 134.78 7.94 21593 goodsn-35-G141_21593 0.85058
goodsn 37893 2 1 1 1.3632 1.36 1.3613 1.3641 1.3654 8.0315 3.4938 4.5377 32053000000.0 18923000000.0 0.0 1.3044 2.0 18.21 11.23 19695000000.0 12615000000.0 -1.75 10.48 0.55 376.89 24.87 37893 goodsn-18-G141_37893 1.36316
