# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 8097 2 1 1 0.7816 0.7774 0.7794 0.7833 0.7853 4.6019 3.0102 1.5917 27617000000.0 6637500000.0 0.0 0.7816 2.0 82.69 10.83 1116200000.0 4425000000.0 1.12 -1.63 1.53 -1.67 1.56 8097 goodss-21-G141_08097 0.78158
goodss 8422 1 1 1 1.603 -1.0 -1.0 -1.0 -1.0 787.22 782.84 4.3849 7182000000000.0 18286000000.0 0.0 1.603 1.0 2650.0 15.06 10386000000.0 12191000000.0 -0.49 -99.0 -99.0 -99.0 -99.0 8422 goodss-21-G141_08422 1.6117
goodss 9704 2 1 1 1.7333 1.7185 1.7283 1.7419 1.7477 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.733 2.0 nan 0.0 -99.0 -99.0 0.66 -99.0 -99.0 -99.0 -99.0 9704 goodss-28-G141_09704 1.73327
goodss 10436 2 1 1 1.8391 1.7916 1.817 1.8462 1.8605 1.1743 -99.0 1.1743 -99.0 4897000000.0 2.0 1.839 2.0 -9.892 10.1 547730000.0 3264700000.0 2.26 -99.0 -99.0 -99.0 -99.0 10436 goodss-21-G141_10436 1.83914
goodss 11016 2 1 1 2.2511 1.8673 1.951 2.2683 2.2786 346.11 343.17 2.945 3148300000000.0 12281000000.0 0.0 2.251 2.0 711.9 12.36 3936400000.0 8187300000.0 0.16 -99.0 -99.0 -99.0 -99.0 11016 goodss-26-G141_11016 2.25112
goodss 12358 1 1 1 0.735 -1.0 -1.0 -1.0 -1.0 1.4279 0.70401 0.72392 6458800000.0 3018900000.0 0.0 0.735 1.0 22.01 7.777 578020000.0 2012600000.0 1.21 -2.2 1.51 -3.21 2.2 12358 goodss-10-G141_12358 0.72806
goodss 13369 2 1 1 1.7955 1.7611 1.7828 1.8329 1.9016 88.389 84.209 4.1804 772560000000.0 17433000000.0 0.0 1.795 2.0 317.4 8.309 7928400000.0 11622000000.0 -0.29 -99.0 -99.0 -99.0 -99.0 13369 goodss-10-G141_13369 1.79547
goodss 13628 1 1 1 1.536 -1.0 -1.0 -1.0 -1.0 81.167 74.717 6.4502 685480000000.0 26898000000.0 0.0 1.536 1.0 258.4 9.598 12839000000.0 17932000000.0 -0.41 25.17 1.28 151.91 8.34 13628 goodss-19-G141_13628 1.53958
goodss 14152 1 1 1 1.615 -1.0 -1.0 -1.0 -1.0 224.75 222.61 2.1475 2042300000000.0 8955300000.0 0.0 1.615 1.0 755.5 8.008 2951700000.0 5970200000.0 0.18 2.22 1.9 23.03 19.96 14152 goodss-27-G141_14152 1.41211
goodss 14708 2 1 1 2.9177 2.7563 2.8082 2.9225 2.9748 699.92 678.27 21.654 6222600000000.0 90301000000.0 0.0 2.918 2.0 365.2 8.96 47305000000.0 60200000000.0 -0.4 -99.0 -99.0 -99.0 -99.0 14708 goodss-19-G141_14708 2.91768
goodss 14747 2 1 1 1.7169 1.6877 1.707 1.7521 1.8035 114.83 114.03 0.80705 1046100000000.0 3365500000.0 0.0 1.717 2.0 416.4 7.859 1031400000.0 2243700000.0 0.34 -99.0 -99.0 -99.0 -99.0 14747 goodss-19-G141_14747 1.71692
goodss 14813 1 1 1 1.608 -1.0 -1.0 -1.0 -1.0 28.996 26.782 2.2143 245710000000.0 9233900000.0 0.0 1.608 1.0 90.66 9.092 5391200000.0 6155900000.0 -0.58 -99.0 -99.0 -99.0 -99.0 14813 goodss-04-G141_14813 1.78292
goodss 15214 2 1 1 1.613 1.5751 1.5998 1.6394 1.6673 145.57 143.09 2.4781 1312800000000.0 10334000000.0 0.0 1.613 2.0 485.2 7.572 3293500000.0 6889300000.0 0.24 -99.0 -99.0 -99.0 -99.0 15214 goodss-10-G141_15214 1.613
goodss 16716 2 1 1 0.6595 0.6554 0.6571 0.6606 0.6623 1.4355 0.43013 1.0054 3946200000.0 4192700000.0 0.0 0.6595 2.0 16.88 12.34 317380000.0 2795100000.0 3.06 5.44 4.69 4.84 4.18 16716 goodss-19-G141_16716 0.65947
goodss 16814 2 1 1 1.4769 1.4166 1.4465 1.5067 1.5443 232.9 232.19 0.70666 2130200000000.0 2946900000.0 0.0 1.477 2.0 839.8 9.882 750210000.0 1964600000.0 0.38 -0.9 1.7 -10.45 19.82 16814 goodss-19-G141_16814 1.47688
goodss 16888 2 1 1 2.4747 2.4432 2.4595 2.4933 2.5341 21.679 18.054 3.6248 165640000000.0 15116000000.0 0.0 2.475 2.0 25.93 10.51 2799500000.0 10077000000.0 1.19 -99.0 -99.0 -99.0 -99.0 16888 goodss-19-G141_16888 2.47467
goodss 19148 1 1 1 0.98 -1.0 -1.0 -1.0 -1.0 3.7415 1.1952 2.5462 10966000000.0 10618000000.0 0.0 0.98 1.0 20.19 8.223 654130000.0 7078700000.0 3.08 -1.49 1.17 -2.29 1.79 19148 goodss-07-G141_19148 0.9808
goodss 19186 1 1 1 1.094 -1.0 -1.0 -1.0 -1.0 76.116 68.334 7.7816 626920000000.0 32450000000.0 0.0 1.094 1.0 758.5 14.26 14735000000.0 21633000000.0 -0.24 33.12 3.54 56.26 6.04 19186 goodss-20-G141_19186 1.09698
goodss 19348 1 1 1 2.582 -1.0 -1.0 -1.0 -1.0 1310.8 1299.2 11.654 11919000000000.0 48599000000.0 0.0 2.582 1.0 1446.0 11.46 20108000000.0 32399000000.0 -0.16 -99.0 -99.0 -99.0 -99.0 19348 goodss-07-G141_19348 2.44526
