# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodsn 261 3 1 -1 0.8598 0.39 0.627 1.086 5.32 0.4032 0.35863 0.044566 3290200000.0 185850000.0 1.0 0.8598 3.0 8.696 10.28 72000000.0 123900000.0 -0.35 -99.0 -99.0 -99.0 -99.0 -99.0 261 goodsn-41-G141_00261 -1.0 3.0
goodsn 263 3 1 -1 1.494 1.282 1.373 1.624 1.768 1.3136 -99.0 1.3136 -99.0 5477700000.0 2.0 1.494 3.0 -1.236 19.87 6253300000.0 3651800000.0 -1.88 -99.0 -99.0 -99.0 -99.0 -99.0 263 00000 -1.0 1.0
goodsn 272 3 1 -1 1.2676 1.124 1.196 1.339 1.388 5.1592 3.7681 1.3911 34570000000.0 5801000000.0 0.0 1.268 3.0 22.53 10.93 5803800000.0 3867300000.0 -1.64 1.61 0.59 138.37 52.19 1.01 272 goodsn-41-G141_00272 1.22221 1.0
goodsn 275 3 1 -1 1.3629 1.185 1.269 1.455 1.662 2.5186 1.5564 0.96217 14279000000.0 4012400000.0 1.0 1.363 3.0 6.726 10.0 4702600000.0 2674900000.0 -1.9 -99.0 -99.0 -99.0 -99.0 -99.0 275 00000 -1.0 1.0
goodsn 276 2 1 1 0.9798 0.9696 0.9762 0.9889 0.995 2.2134 1.0808 1.1326 9915400000.0 4723000000.0 0.0 0.9798 2.0 18.27 12.96 4408600000.0 3148700000.0 -1.5 4.46 1.06 198.11 50.74 1.082 276 goodsn-41-G141_00276 0.97981 1.0
goodsn 277 3 1 -1 1.4531 1.296 1.367 1.551 1.706 0.81675 -99.0 0.81675 -99.0 3406000000.0 2.0 1.453 3.0 -7.255 8.636 3579400000.0 2270600000.0 -1.73 0.87 0.4 172.24 93.49 0.674 277 goodsn-41-G141_00277 1.4596 1.0
goodsn 280 3 1 -1 1.6574 1.492 1.538 1.81 1.926 11.123 10.823 0.29967 99296000000.0 1249700000.0 0.0 1.657 3.0 37.68 9.32 530660000.0 833120000.0 -0.14 2.54 0.67 162.54 45.74 0.951 280 goodsn-41-G141_00280 1.34199 2.0
goodsn 282 3 1 -1 0.9603 0.364 0.746 1.183 1.467 0.15931 -99.0 0.15931 -99.0 664340000.0 2.0 0.9603 3.0 -5.714 11.36 638410000.0 442890000.0 -1.48 -99.0 -99.0 -99.0 -99.0 -99.0 282 00000 -1.0 1.0
goodsn 285 3 1 -1 1.0658 0.882 0.957 1.168 1.365 0.56063 -99.0 0.56063 -99.0 2337900000.0 2.0 1.066 3.0 -25.17 19.93 2771500000.0 1558600000.0 -1.95 -99.0 -99.0 -99.0 -99.0 -99.0 285 00000 -1.0 1.0
goodsn 286 3 1 0 0.7639 0.707 0.729 0.799 0.836 7.187 6.8705 0.31645 63032000000.0 1319600000.0 0.0 0.7639 3.0 197.7 21.79 446240000.0 879750000.0 0.14 -99.0 -99.0 -99.0 -99.0 -99.0 286 00000 -1.0 2.0
