# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodsn 125 2 1 1 1.7429 1.737 1.7407 1.7504 1.7539 3.7964 -99.0 3.7964 -99.0 15832000000.0 2.0 1.743 2.0 -4.28 13.15 14313000000.0 10554000000.0 -1.44 -99.0 -99.0 -99.0 -99.0 -99.0 125 goodsn-41-G141_00125 1.74286 1.0
goodsn 128 2 1 1 1.2133 1.2096 1.2115 1.2152 1.2173 33.894 32.496 1.3974 298130000000.0 5827500000.0 0.0 1.213 2.0 240.2 9.499 1769100000.0 3885000000.0 0.18 13.2 1.04 59.24 4.77 0.953 128 goodsn-41-G141_00128 1.21333 2.0
goodsn 129 2 1 1 2.5026 2.2827 2.4886 2.5183 2.5492 47.331 36.465 10.865 334550000000.0 45309000000.0 0.0 2.503 2.0 49.21 10.15 35226000000.0 30206000000.0 -1.26 -99.0 -99.0 -99.0 -99.0 -99.0 129 goodsn-41-G141_00129 2.50258 1.0
goodsn 133 3 1 -1 2.1026 1.864 1.948 2.242 2.374 25.152 22.593 2.5591 207270000000.0 10672000000.0 0.0 2.103 3.0 58.7 16.52 5673000000.0 7114500000.0 -0.41 -99.0 -99.0 -99.0 -99.0 -99.0 133 00000 -1.0 1.0
goodsn 135 3 1 -1 0.6343 0.133 0.469 0.784 1.337 0.12917 0.10163 0.027542 932390000.0 114850000.0 1.0 0.6343 3.0 4.28 87.82 167210000.0 76569000.0 -2.31 -99.0 -99.0 -99.0 -99.0 -99.0 135 00000 -1.0 2.0
goodsn 136 3 1 -1 1.136 0.795 0.995 1.268 1.365 0.41403 -99.0 0.41403 -99.0 1726600000.0 2.0 1.136 3.0 -8.507 12.8 1445500000.0 1151100000.0 -1.37 -99.0 -99.0 -99.0 -99.0 -99.0 136 00000 -1.0 1.0
goodsn 140 2 1 1 0.9877 0.9834 0.9852 0.989 0.9907 5.7785 2.7238 3.0547 24989000000.0 12738000000.0 0.0 0.9877 2.0 44.72 13.98 11847000000.0 8492300000.0 -1.55 15.76 1.02 328.68 23.55 1.009 140 goodsn-41-G141_00140 0.98774 1.0
goodsn 141 3 1 -1 0.6555 0.508 0.576 0.726 0.769 0.082818 -99.0 0.082818 -99.0 345360000.0 2.0 0.6555 3.0 -15.86 11.92 182550000.0 230240000.0 -0.42 4.76 1.0 6338261572.63 1.0653491170004906e+189 2916455.535 141 goodsn-41-G141_00141 0.7203 1.0
goodsn 145 3 1 -1 2.8177 2.559 2.695 2.942 3.048 15.936 13.413 2.5224 123060000000.0 10519000000.0 0.0 2.818 3.0 8.659 7.618 12256000000.0 7012600000.0 -1.89 -99.0 -99.0 -99.0 -99.0 -99.0 145 00000 -1.0 1.0
goodsn 146 3 1 -1 0.591 0.478 0.528 0.657 0.692 0.096295 -99.0 0.096295 -99.0 401560000.0 2.0 0.591 3.0 -13.85 60.52 233130000.0 267710000.0 -0.42 -99.0 -99.0 -99.0 -99.0 -99.0 146 00000 -1.0 1.0
