# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
aegis 11022 2 1 1 1.2356 1.2276 1.2323 1.241 1.2456 2.7945 1.8807 0.91381 17254000000.0 3810700000.0 1.0 1.2693 2.0 11.19 11.4 212680000.0 2540500000.0 3.23 1.96 0.83 10.39 4.42 11022 aegis-25-G141_11022 1.23558
aegis 11039 1 1 1 0.7811 -1.0 -1.0 -1.0 -1.0 9.5124 7.5669 1.9454 69421000000.0 8112800000.0 0.0 0.7598 1.0 220.1 14.74 4290800000.0 5408500000.0 -0.6 0.41 2.07 0.44 2.22 11039 aegis-30-G141_11039 0.7798
aegis 11261 2 1 1 0.748 0.7449 0.7465 0.7494 0.7511 90.804 86.74 4.0635 795780000000.0 16945000000.0 0.0 0.9167 2.0 1825.0 17.8 4428700000.0 11297000000.0 0.69 65.11 3.56 87.86 5.11 11261 aegis-18-G141_11261 0.74805
aegis 11465 2 1 1 1.7333 1.7156 1.7234 1.738 1.7442 22.667 18.006 4.6612 165190000000.0 19438000000.0 0.0 1.6904 2.0 64.38 10.99 1898800000.0 12958000000.0 2.41 -99.0 -99.0 -99.0 -99.0 11465 aegis-30-G141_11465 1.73327
aegis 11773 2 1 1 2.0313 2.0298 2.0325 2.0677 2.1056 10.659 9.0218 1.6368 82769000000.0 6825600000.0 0.0 2.023 2.0 26.35 11.96 1518500000.0 4550400000.0 1.02 -99.0 -99.0 -99.0 -99.0 11773 aegis-06-G141_11773 2.03133
aegis 11880 2 1 1 1.702 1.551 1.6083 1.7547 1.7957 409.25 406.1 3.1523 3725700000000.0 13146000000.0 0.0 2.4587 2.0 602.9 13.57 535170000.0 8763800000.0 3.96 -99.0 -99.0 -99.0 -99.0 11880 aegis-02-G141_11880 1.70202
aegis 11966 2 1 1 0.7341 0.731 0.7324 0.7349 0.7364 77.947 76.524 1.4238 702050000000.0 5937600000.0 0.0 0.8009 2.0 2017.0 16.47 416090000.0 3958400000.0 2.78 30.66 2.15 40.16 2.87 11966 aegis-28-G141_11966 0.73412
aegis 12219 2 1 1 1.4085 1.4073 1.4102 1.4541 1.4783 663.36 660.05 3.3075 6055500000000.0 13793000000.0 0.0 1.5263 2.0 2298.0 17.39 7472400000.0 9195100000.0 -0.45 -3.19 1.45 -25.89 11.53 12219 aegis-02-G141_12219 1.40849
aegis 13524 2 1 1 1.1924 1.1858 1.1885 1.1939 1.1961 19.515 16.551 2.9645 151840000000.0 12362000000.0 0.0 1.2076 2.0 124.9 15.26 7899100000.0 8241500000.0 -0.72 10.37 1.16 61.88 7.01 13524 aegis-30-G141_13524 1.19241
aegis 14495 2 1 1 1.5106 1.4995 1.5039 1.5136 1.5199 80.228 78.436 1.7919 719600000000.0 7472400000.0 0.0 1.5693 2.0 266.7 12.85 3145900000.0 4981600000.0 -0.26 10.74 1.49 149.78 23.96 14495 aegis-07-G141_14495 1.51055
aegis 14499 1 1 1 1.2038 -1.0 -1.0 -1.0 -1.0 10.381 8.6508 1.7301 79365000000.0 7214600000.0 0.0 1.1901 1.0 69.64 10.28 1058500000.0 4809800000.0 1.77 0.94 0.7 4.06 3.02 14499 aegis-30-G141_14499 1.20119
aegis 14885 1 1 1 0.5093 -1.0 -1.0 -1.0 -1.0 37.685 34.582 3.103 317270000000.0 12940000000.0 0.0 0.6855 1.0 1259.0 14.79 6599400000.0 8626600000.0 -0.61 -99.0 -99.0 -99.0 -99.0 14885 aegis-21-G141_14885 0.55893
aegis 15593 2 1 1 0.7092 0.6391 0.6923 0.7201 0.7302 1.4505 0.71831 0.73223 6590000000.0 3053500000.0 1.0 0.8276 2.0 18.16 19.7 157820000.0 2035700000.0 3.33 -0.26 1.59 -0.57 3.44 15593 aegis-01-G141_15593 0.70916
aegis 15669 1 1 1 0.7399 -1.0 -1.0 -1.0 -1.0 22.075 20.422 1.6526 187360000000.0 6891600000.0 0.0 0.7818 1.0 560.7 17.27 1657800000.0 4594400000.0 0.56 5.54 6.14 7.14 7.9 15669 aegis-29-G141_15669 0.66529
aegis 15871 2 1 1 2.3052 2.2777 2.2925 2.3184 2.3342 165.89 158.1 7.7918 1450400000000.0 32493000000.0 0.0 2.1681 2.0 372.8 61.9 14963000000.0 21662000000.0 -0.23 -99.0 -99.0 -99.0 -99.0 15871 aegis-08-G141_15871 2.30521
aegis 16065 2 1 1 2.0298 1.9521 2.0081 2.0816 2.1322 437.97 434.67 3.3029 3987800000000.0 13774000000.0 0.0 2.1872 2.0 995.7 26.89 2665700000.0 9182400000.0 1.23 -99.0 -99.0 -99.0 -99.0 16065 aegis-10-G141_16065 2.02981
aegis 17563 2 1 1 2.447 2.4267 2.4398 2.5639 2.5838 817.19 801.02 16.167 7348800000000.0 67419000000.0 0.0 2.537 2.0 997.0 12.24 32516000000.0 44946000000.0 -0.34 -99.0 -99.0 -99.0 -99.0 17563 aegis-10-G141_17563 2.44699
aegis 17570 2 1 1 0.9719 0.9593 0.9657 0.9779 0.984 2.0691 1.1277 0.94143 10346000000.0 3925900000.0 1.0 1.059 2.0 14.18 15.39 2119500000.0 2617300000.0 -0.55 -0.06 1.05 -0.29 5.56 17570 aegis-09-G141_17570 0.9719
aegis 17754 2 1 1 2.372 2.2296 2.3531 2.3702 2.3717 565.09 558.18 6.9095 5120900000000.0 28813000000.0 0.0 2.2393 2.0 1179.0 31.89 12641000000.0 19209000000.0 -0.2 -99.0 -99.0 -99.0 -99.0 17754 aegis-01-G141_17754 2.37198
aegis 17948 2 1 1 1.0057 0.9934 0.9991 1.0094 1.0137 5.7259 3.1156 2.6103 28583000000.0 10885000000.0 0.0 0.9784 2.0 52.94 11.57 4658800000.0 7256900000.0 -0.28 1.76 1.68 3.74 3.58 17948 aegis-16-G141_17948 1.00571
aegis 18045 1 1 1 1.0125 -1.0 -1.0 -1.0 -1.0 27.39 24.957 2.4334 228960000000.0 10148000000.0 0.0 1.1609 1.0 222.9 11.88 3377000000.0 6765000000.0 0.03 8.31 2.15 17.4 4.54 18045 aegis-21-G141_18045 1.01073
aegis 19743 2 1 1 1.5156 1.4916 1.5014 1.5178 1.5239 164.12 161.2 2.9264 1478900000000.0 12204000000.0 0.0 1.5751 2.0 547.2 15.09 1449600000.0 8135800000.0 2.17 27.28 2.44 109.47 10.4 19743 aegis-14-G141_19743 1.51557
