# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
uds 22917 2 1 1 0.6471 0.6381 0.6422 0.6498 0.6534 0.58487 0.34896 0.23591 3201400000.0 983790000.0 1.0 0.6471 2.0 14.18 27.79 55508000.0 655860000.0 2.88 0.3 2.49 1.63 13.44 22917 uds-06-G141_22917 0.64707
uds 30204 1 1 0 0.6418 -1.0 -1.0 -1.0 -1.0 0.53763 0.24097 0.29666 2210800000.0 1237100000.0 1.0 0.6418 1.0 9.938 25.43 70045000.0 824750000.0 3.06 11.08 10.01 45.79 41.21 30204 uds-20-G141_30204 0.62661
uds 5171 3 1 0 0.803 0.758 0.774 0.833 0.86 0.74675 0.07926 0.66749 727160000.0 2783500000.0 1.0 0.803 3.0 2.08 20.23 539840000.0 1855700000.0 1.01 -99.0 -99.0 -99.0 -99.0 5171 00000 -1.0
uds 5541 3 1 0 0.6464 0.582 0.611 0.681 0.705 2.2077 1.4555 0.75224 13353000000.0 3136900000.0 0.0 0.6464 3.0 59.26 33.64 251600000.0 2091300000.0 2.49 -99.0 -99.0 -99.0 -99.0 5541 00000 -1.0
uds 13927 2 1 1 0.7914 0.7851 0.788 0.7944 0.7976 1.2923 0.58806 0.70422 5395000000.0 2936700000.0 1.0 0.7914 2.0 15.81 25.01 411910000.0 1957800000.0 1.9 -99.0 -99.0 -99.0 -99.0 13927 uds-22-G141_13927 0.7914
uds 19003 1 1 1 0.919 -1.0 -1.0 -1.0 -1.0 13.68 11.119 2.5606 102010000000.0 10678000000.0 0.0 0.919 1.0 232.2 30.91 2564600000.0 7118800000.0 0.33 15.19 2.26 15.29 2.29 19003 uds-08-G141_19003 0.91842
uds 40669 3 1 0 0.5865 0.547 0.561 0.612 0.635 2.2577 1.0737 1.1839 9850800000.0 4937100000.0 0.0 0.5865 3.0 52.72 25.08 968960000.0 3291400000.0 0.24 -99.0 -99.0 -99.0 -99.0 40669 00000 -1.0
uds 8816 3 1 0 0.5778 0.531 0.549 0.606 0.629 3.5855 2.2809 1.3046 20926000000.0 5440200000.0 0.0 0.5778 3.0 115.9 26.65 1258400000.0 3626800000.0 0.43 -99.0 -99.0 -99.0 -99.0 8816 00000 -1.0
uds 18619 1 1 1 0.6494 -1.0 -1.0 -1.0 -1.0 1.2618 -99.0 1.2618 -99.0 5261800000.0 2.0 0.6494 1.0 -0.1943 24.0 1173100000.0 3507800000.0 0.45 12.64 9.47 10.19 7.64 18619 uds-07-G141_18619 0.64543
uds 28591 2 1 1 0.5825 0.4742 0.5193 0.6018 0.6308 1.0372 0.78107 0.25615 7165800000.0 1068200000.0 0.0 0.5825 2.0 38.96 21.04 1031300000.0 712130000.0 -1.58 -99.0 -99.0 -99.0 -99.0 28591 uds-19-G141_28591 0.58249
