# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
aegis 10309 3 1 0 1.6016 1.536 1.566 1.638 1.672 58.332 54.09 4.2428 496240000000.0 17693000000.0 0.0 1.6016 3.0 183.1 12.55 12049000000.0 11795000000.0 -1.01 -99.0 -99.0 -99.0 -99.0 10309 00000 -1.0 1.0
aegis 5499 2 1 1 1.4559 1.4528 1.4541 1.4568 1.4582 4.9993 -99.0 4.9993 -99.0 20848000000.0 2.0 1.4679 2.0 -21.94 12.19 23372000000.0 13899000000.0 -1.83 15.02 0.62 1602.83 203.3 5499 aegis-12-G141_05499 1.45592 1.0
aegis 2567 3 1 0 1.4161 1.324 1.366 1.468 1.506 9.8833 6.4645 3.4188 59307000000.0 14257000000.0 0.0 1.4161 3.0 25.07 11.17 14204000000.0 9504600000.0 -1.69 -99.0 -99.0 -99.0 -99.0 2567 00000 -1.0 1.0
aegis 39567 2 1 1 1.5883 1.5838 1.5856 1.5894 1.5919 57.366 47.443 9.9231 435260000000.0 41381000000.0 0.0 1.6029 2.0 160.6 11.77 28197000000.0 27587000000.0 -1.01 -99.0 -99.0 -99.0 -99.0 39567 aegis-11-G141_39567 1.5883 1.0
aegis 39897 2 1 1 1.5831 1.5743 1.5791 1.5875 1.592 19.157 17.303 1.8547 158740000000.0 7734500000.0 0.0 1.5203 2.0 60.49 11.2 5911800000.0 5156400000.0 -1.17 -99.0 -99.0 -99.0 -99.0 39897 aegis-11-G141_39897 1.58313 1.0
aegis 34308 2 1 1 1.537 1.5282 1.5333 1.5443 1.5497 49.884 44.079 5.805 404390000000.0 24208000000.0 0.0 1.4597 2.0 162.1 10.22 15710000000.0 16138000000.0 -0.68 15.95 1.79 240.2 30.58 34308 aegis-11-G141_34308 1.53704 1.0
aegis 33801 2 1 1 1.5282 1.5237 1.5254 1.5287 1.5303 120.02 117.37 2.6423 1076800000000.0 11019000000.0 0.0 1.4765 2.0 424.7 13.78 4084500000.0 7345800000.0 0.17 32.9 1.12 648.03 32.68 33801 aegis-11-G141_33801 1.52818 1.0
aegis 25383 2 1 1 1.3965 1.393 1.3945 1.398 1.3998 13.05 11.741 1.3093 107710000000.0 5460100000.0 0.0 1.2537 2.0 74.12 14.39 3638000000.0 3640000000.0 -1.05 13.81 1.09 316.53 31.34 25383 aegis-16-G141_25383 1.39648 2.0
aegis 24447 2 1 1 1.5396 1.5291 1.5339 1.5435 1.5482 13.559 7.4757 6.083 68585000000.0 25367000000.0 0.0 1.5167 2.0 26.2 9.751 27209000000.0 16911000000.0 -1.82 15.48 1.71 509.63 73.68 24447 aegis-16-G141_24447 1.53958 1.0
aegis 16933 3 1 0 1.5412 1.413 1.47 1.611 1.683 6.198 2.3219 3.876 21302000000.0 16164000000.0 1.0 1.5412 3.0 8.005 9.226 17142000000.0 10776000000.0 -1.76 -99.0 -99.0 -99.0 -99.0 16933 aegis-01-G141_16933 1.65382 1.0
