# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 437 3 1 0 1.0142 0.672 0.773 1.186 1.297 0.92465 0.76771 0.15694 7043200000.0 654450000.0 1.0 1.014 3.0 11.41 57.05 230550000.0 436300000.0 0.5 -99.0 -99.0 -99.0 -99.0 437 00000 -1.0 1.0
goodss 444 3 1 0 0.7411 0.668 0.698 0.78 0.828 0.27582 0.17327 0.10255 1589600000.0 427650000.0 1.0 0.7411 3.0 5.321 12.43 439760000.0 285100000.0 -1.81 3.38 1.54 2782.33 4.042314224845337e+97 444 goodss-15-G141_00444 0.72806 1.0
goodss 453 3 1 0 2.2241 1.341 1.868 2.498 2.589 20.176 17.956 2.2201 164730000000.0 9258100000.0 0.0 2.224 3.0 38.83 12.63 10766000000.0 6172100000.0 -1.9 -99.0 -99.0 -99.0 -99.0 453 00000 -1.0 1.0
goodss 469 3 1 0 0.9286 0.859 0.883 0.98 1.027 0.283 -99.0 0.283 -99.0 1180200000.0 2.0 0.9286 3.0 -2.436 6.947 1363500000.0 786780000.0 -1.88 -99.0 -99.0 -99.0 -99.0 469 goodss-15-G141_00469 -1.0 1.0
goodss 482 3 1 0 1.5552 1.244 1.377 1.726 1.848 1.5509 0.61551 0.93538 5646900000.0 3900700000.0 1.0 1.555 3.0 2.105 16.04 4275300000.0 2600400000.0 -1.82 -99.0 -99.0 -99.0 -99.0 482 00000 -1.0 1.0
goodss 504 3 1 0 1.4065 1.081 1.193 1.597 1.662 16.017 15.834 0.18307 145260000000.0 763410000.0 0.0 1.406 3.0 62.4 14.28 819760000.0 508940000.0 -1.8 -99.0 -99.0 -99.0 -99.0 504 00000 -1.0 1.0
goodss 539 3 1 0 0.9609 0.873 0.91 1.009 1.052 0.87843 0.48688 0.39155 4466800000.0 1632800000.0 1.0 0.9609 3.0 8.815 10.25 1866300000.0 1088600000.0 -1.86 2.1 0.89 1643.59 4272.86 539 goodss-16-G141_00539 0.94255 1.0
goodss 558 3 1 0 0.7819 0.66 0.699 0.86 0.9 0.17616 -99.0 0.17616 -99.0 734600000.0 2.0 0.7819 3.0 -10.47 8.428 774130000.0 489730000.0 -1.81 3.73 2.33 718.15 836.94 558 goodss-15-G141_00558 0.65864 1.0
goodss 560 3 1 0 1.2384 1.03 1.125 1.338 1.515 2.0126 1.4972 0.51548 13735000000.0 2149600000.0 1.0 1.238 3.0 10.04 34.17 2436200000.0 1433100000.0 -1.87 -99.0 -99.0 -99.0 -99.0 560 00000 -1.0 1.0
goodss 571 3 1 0 0.9817 0.835 0.886 1.062 1.108 0.31818 -99.0 0.31818 -99.0 1326800000.0 2.0 0.9817 3.0 -5.681 8.051 1550100000.0 884560000.0 -1.9 1.28 1.07 358.59 430.57 571 goodss-15-G141_00571 0.84504 1.0
