# lfnu60_lfnu100 alpha 3_5 5_13 13_20 20_42 42_122 122_1100
0.10 1.09 0.5 3.4 4.8 32.8 52.4 6.1
0.00 1.41 0.8 4.8 4.4 28.0 53.3 8.7
-0.10 1.64 1.3 6.7 4.0 22.7 52.7 12.5
-0.20 1.82 1.7 8.9 3.8 17.8 50.8 16.9
-0.30 2.00 2.2 11.2 3.7 13.6 47.9 21.5
-0.40 2.22 2.7 13.4 3.7 9.9 43.6 26.7
-0.50 2.56 3.0 15.3 3.8 7.4 38.3 32.2
