# ID   zz    zmin  zmax  f1     ef1   f2     ef2   f3     ef3   f4     ef4   f5     ef5   f6     ef6   f7     ef7   f8     ef8   f9     ef9   f10   ef10  f11    ef11  f12    ef12  f13    ef13  f14    ef14  f15    ef15  f16  ef16  f17  ef17  flg1 flg2
3767 1.045 1.025 1.065 28.211 0.985 27.417 0.146 26.286 0.215 24.858 0.044 23.411 0.026 23.127 0.017 22.509 0.015 98.992 -99.0 22.102 0.007 21.81 0.004 21.483 0.003 20.971 0.007 21.032 0.002 20.507 0.005 20.794 0.004 99.0 -99.0 99.0 -99.0 0 0.04
20168 1.038 1.018 1.058 23.277 0.012 23.269 0.009 23.204 0.023 22.868 0.009 22.276 0.008 22.187 0.011 21.942 0.01 98.992 -99.0 21.836 0.005 21.596 0.005 21.533 0.005 21.111 0.009 21.199 0.003 20.795 0.007 21.097 0.007 99.0 -99.0 99.0 -99.0 0 0.03
